Identifier,Character,Dialogue,Filename,Line Number
debug_0e7f06da,e,Debug mode,game/debug_script.rpy,4
debug_d79b86ba,e,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus suscipit varius arcu, ac cursus quam placerat eu. In hac habitasse platea dictumst. Nunc faucibus sollicitudin elementum.",game/debug_script.rpy,5
start_db992833,centered,Every person has a dream they wish to pursue.,game/script.rpy,6
start_d860083c,centered,"Yet, as people grow up, they often come to realize the truth: ",game/script.rpy,7
start_d860083c(N),centered,Dreams are nothing more than fairytales.,game/script.rpy,7
start_65991749,centered,At least that's what most people say...,game/script.rpy,8
start_f65f301c,centered,"Then, what about those who do end up accomplishing their dreams? ",game/script.rpy,9
start_f65f301c(N),centered,Are they merely incredibly lucky?,game/script.rpy,9
start_2889c375,dad,Every man has a dream he wants to accomplish.,game/script.rpy,14
start_4739ffaf,dad,"However, there is something really important you should know, my boy...",game/script.rpy,15
start_c48a76b4,dad,"A real man doesn't give up on his dream, no matter what overwhelming challenges he might have to face!",game/script.rpy,16
start_1b52e88f,n,"I still remember those foolish words my dad used to say. But despite their silly nature, I found myself inspired by them.",game/script.rpy,17
start_f879f283,n,Ever since I was a young child I have been interested in martial arts.,game/script.rpy,18
start_da7ea9a0,n,It didn't matter whether I watched a match on television or read a manga about some heroic martial artist...,game/script.rpy,19
start_b138d11e,n,"It has always been my dream to become a martial artist one day. Of course, it was a bit childish of me to think that I could become a hero simply by learning martial arts.",game/script.rpy,20
start_954bc0e4,n,"Even though I already understood that superheroes were nothing more than figments of my imagination, I still had a desire to use my strength for the sake of others.",game/script.rpy,21
start_2102a35f,n,"My name is Gushiken Takahiro, a 17-year-old rising judo star. And no, that's not me bragging.",game/script.rpy,22
start_c0b353e6,n,I'm actually about to take part in a tournament 2 weeks from now that could make or break my career on an international level!,game/script.rpy,23
start_96644d59,n,"Of course, I was excited about the opportunity to finally accomplish my dreams and represent my country at a sport that I loved, but the same excitement also made me feel incredibly nervous.",game/script.rpy,24
start_ea7df49c,n,"And while those worrisome thoughts haunted my mind, a familiar voice resounded from outside the window.",game/script.rpy,25
start_6b334a50,koyomi,Ooy! Taka-kun!! Get your butt in gear!!,game/script.rpy,26
start_7e3fb8e8,mc,"Okay, okay! I'll be right there, Koyomi!",game/script.rpy,27
start_83b02a33,n,"Not wanting to keep Koyomi waiting, I quickly dashed toward the front door to let her in, not even realizing that I was still in my pajamas.",game/script.rpy,29
start_bdba1550,mc,"Hold on a second, Koyomi! Gotta grab my shoes before we head off to school.",game/script.rpy,30
start_cf5ab5f2,koyomi,"Really? I never realized our school had a strict uniform or sleepwear policy. Nice jammies, by the way, did you borrow them from your mom?",game/script.rpy,31
start_a856c378,n,"For a moment my eyes drifted downwards, noticing that I was indeed wearing my pajamas. I let out a groan of annoyance, and marched back towards my room.",game/script.rpy,32
start_05c27af3,mc,"Bah, there's nothing wrong with my jammies! The Golden Knight is a famous comic book hero in the west! Besides, not everyone prefers to sleep naked like you...",game/script.rpy,34
start_5e56149a,n,"Mumbling those words, I started stripping out of my clothes, not particularly minding the presence of the girl behind me.",game/script.rpy,35
start_905983c5,koyomi,"TH-THAT ONLY HAPPENED ONCE! You know very well it was super hot that night! And geez! Warn me before you strip naked in front of me, you idiot!",game/script.rpy,38
start_caa9d459,mc,You didn't seem to mind it when we were little. Maybe you want me to turn around instead?,game/script.rpy,39
start_b3d1c93a,koyomi,NO! STOP! Don't make me kick your ass!,game/script.rpy,40
start_cbda64d8,n,"I decided I had teased her enough and quickly pulled on my pants, proceeding with the remaining few items of clothing before I was suitably dressed for school.",game/script.rpy,41
start_37877061,mc,"Besides, I had a reason for being so distracted.",game/script.rpy,42
start_17f09980,koyomi,You've been distracted a lot lately. What's going on in that hollow skull of yours?,game/script.rpy,45
start_0272404e,mc,It's that upcoming match... ,game/script.rpy,46
start_0272404e(N),mc,I have no idea how anyone can remain calm when an international career is at stake.,game/script.rpy,46
start_f9f5a01f,mc,I wouldn't be surprised if I had made up enough doomsday scenarios to fill up the apocalypse genre.,game/script.rpy,47
start_69c79673,koyomi,"Oh, right, the judo thing. I'm sure you'll do fine. I've seen some of your matches, and you kick butt! And, of course, if you're really worried, you could always pray!",game/script.rpy,48
start_dfb738eb,mc,Pray?,game/script.rpy,49
start_564f725d,koyomi,"What, don't tell me you don't know? It's one of the school's legends. Apparently, there's some shrine out in the forest that, if you pray to it, brings you good luck.",game/script.rpy,52
start_a9eb8867,koyomi,"Ichikawa-san said that his sister prayed to it the night before her exam, and she got a perfect score!",game/script.rpy,53
start_8bc3103f,mc,"... A shrine that is said to bring you good luck? Sounds like bogus to me, but at this point I'm willing to try anything, I guess.",game/script.rpy,54
start_7b3a2c09,mc,I'll ask Ichikawa-san about the location.,game/script.rpy,55
start_db981614,mc,I'm not exactly in the mood to get lost in the forest and end up a modern day Tarzan.,game/script.rpy,56
start_eb83d5bb,koyomi,"Well, whatever. If you do go looking, at least send me a message to let me know. And will you hurry up? We're going to be late AGAIN.",game/script.rpy,59
start_a93438d7,mc,A hero is never too early... ,game/script.rpy,60
start_a93438d7(N),mc,Nor are they too late. ,game/script.rpy,60
start_a93438d7(N),mc,They arrive precisely when they are needed!,game/script.rpy,60
start_eb723ea9,mc,"But for the sake of avoiding detention, let's hurry.",game/script.rpy,61
start_e6793f3f,koyomi,"That's a wizard, not a hero, genius! How can one person be such a sports nerd AND such a geek at the same time?",game/script.rpy,64
start_afd9be6a,mc,"Let's not forget the Casanova and Man of the Year candidate bits, they're important details.",game/script.rpy,65
start_d011f94c,koyomi,"I doubt you'd qualify for either one of them, Pajama Boy...",game/script.rpy,66
start_34944471,mc,"Anyway, let us boldly go where everyone has gone before: to school!",game/script.rpy,67
start_c10e92dc,koyomi,"Uugh, NERD!",game/script.rpy,68
start_8f7f0dfd,centered,Several hours later,game/script.rpy,72
start_2079d481,centered,...,game/script.rpy,73
start_e0a76125,centered,......,game/script.rpy,74
start_fec35ed7,centered,.........,game/script.rpy,75
start_c18041f9,n,"Later that day, I finally got a chance to talk to my classmate about the location of the shrine that Koyomi had mentioned earlier.",game/script.rpy,82
start_cade008e,n,"Gym was the last thing on the schedule for today, so once people got ready to go home I approached the guy.",game/script.rpy,83
start_9a1d475f,mc,"Hey Ichikawa! Is it true that your sister discovered some shrine, that is said to bring you good luck?",game/script.rpy,84
start_6c353b23,Ichikawa,"Ohoho! Let me guess, you want to date her. Well, even though I do have to admit that she's very attractive, I'm afraid she's already going out with someone.",game/script.rpy,86
start_d01b23a0,Ichikawa,"Not to mention, you're not her type!",game/script.rpy,87
start_14cb5f25,mc,"I already got my hands full dealing with Koyomi. You can keep your sister to yourself. Joke aside, I'm more interested in that shrine.",game/script.rpy,88
start_26a71c37,mc,"Did she mention where she found it? I didn't know there was anything near the forest, aside from the dojo.",game/script.rpy,89
start_7a10fe38,Ichikawa,"Oh. Well, uh... She said something about it being near a river. And quite high up. To be honest, I wasn't paying too much attention when she was going on about it.",game/script.rpy,91
start_282accc2,Ichikawa,"I mean, she was wearing this top, and it was tight, and...",game/script.rpy,94
start_a7765da1,mc,"Stop! STOP! I seriously don't need to hear the details, and I doubt anyone else is interested. So, do you know anyone who might have heard about the shrine?",game/script.rpy,95
start_a9cd22d3,Classmate,Are you guys talking about that lucky shrine out in the forest?,game/script.rpy,96
start_c30960a5,mc,"The one and only! According to Ichikawa's sister, there's supposed to be one near a river.",game/script.rpy,97
start_25252be2,Classmate,"I don't know about that, but there's this fiery girl at the Asakura dojo who knows more about it.",game/script.rpy,98
start_e068f62a,Ichikawa,"Wait... are you talking about Ariya-sama? About this tall, ridiculously strong, and super scary?",game/script.rpy,101
start_091b83fc,Classmate,That's the one!,game/script.rpy,102
start_e0742c2d,Ichikawa,"Oh! In that case, I believe I can still be of help, Takahiro-kun! I know where that place is!",game/script.rpy,105
start_e89674cb,mc,"Of course you do. We both do. You just want to tag along, don't you?",game/script.rpy,106
start_8de04650,mc,I don't think Ariya-senpai will appreciate you visiting her with your usual tricks in mind. Do I need to remind you what happened last time you tried to peek at her after she finished practice?,game/script.rpy,107
start_4a255893,mc,"Blood, sweat, and tears...",game/script.rpy,108
start_ca9e2a75,Ichikawa,"Sh-shut up! I don't peep on the ladies! That's slander, you know! I should sue you! I would NEVER look upon Ariya-sama's glorious body in any state of nudity!",game/script.rpy,111
start_2fe084c7,mc,"Oh, so you haven't seen her naked yet?",game/script.rpy,112
start_90398d14,Ichikawa,"I-I've seen a bit of a side-boob, but the hole I found didn't really let me get a good view of...",game/script.rpy,114
start_94e2ffb5,mc,"There we go, someone call the cops, Ichikawa the peeping tom has confessed.",game/script.rpy,115
start_4582ebd4,n,"I playfully patted Ichikawa's shoulder as I turned around, grabbing my bag in the process, and prepared to leave.",game/script.rpy,116
start_c7580a8a,mc,"Thanks for the tip, Ichikawa. I'll let the judge know you were most helpful during the interrogation.",game/script.rpy,118
start_4a45e2d3,Ichikawa,This is unfair! I was coerced! I won't say another word until I speak with my lawyer!,game/script.rpy,119
start_2079d481_1,centered,...,game/script.rpy,123
start_e0a76125_1,centered,......,game/script.rpy,124
start_fec35ed7_1,centered,.........,game/script.rpy,125
start_25b6b4f0,n,"Once school was over, I decided to take my chances with the little bit of intel I had managed to obtain from my classmates. If memory served me right, Ariya-senpai would be practicing at the dojo today.",game/script.rpy,130
start_8113ac65,n,"Of course, I knew her. She was a judo student just like myself, but for whatever reason, she has been refusing to compete in any tournament for a while now.",game/script.rpy,131
start_b0c0621c,mc,"Ariya-senpai, are you around?",game/script.rpy,132
start_7b5c1aee,n,"I shouted her name as I parked my bike, looking around for any sign of the girl.",game/script.rpy,133
start_0c7b26f3,Ariya,Hwah! Hyah! Hyyyah!,game/script.rpy,134
start_988b1737,mc,"Heh, follow the shouts and you will find her...",game/script.rpy,135
start_4102673a,n,"I grinned briefly as I saw Ariya seemingly in the middle of practicing a series of motions, almost as if she was fighting an imaginary opponent.",game/script.rpy,136
start_b22af53b,n,Perhaps now was a perfect opportunity to surprise her a little?,game/script.rpy,137
start_994d811b,n,"I snuck closer, making sure to make as little noise as possible, before I reached a hand towards her shoulder.",game/script.rpy,138
start_66b65e3a,mc,Ariya--,game/script.rpy,139
start_99ab0b34,n,"Feeling a hand on her shoulder, Ariya reacted. She grabbed hold of my hand, and with a loud grunt, shifted her weight, curling and tipping me over her shoulder.",game/script.rpy,140
start_c496cc16,n,I didn't have time to brace myself for the impact before I hit the ground like a sack of potatoes.,game/script.rpy,141
start_cd4bcb02,Ariya,"HYAAAHH! No one sneaks up on the great Kunoichi Ariya! Oh! Taka-boy! I didn't realize it was you! I'm sorry, are you OK?",game/script.rpy,145
start_5161043e,mc,Kunoichi? More like tasmanian devil... That throw didn't have a shred of mercy in it.,game/script.rpy,146
start_d3bcba59,Ariya,"There's no mercy in the ring, Taka-boy. Better that you learn that now than in two weeks' time! Let me guess... you want to do some sparring, don't you?",game/script.rpy,149
start_90895000,mc,"I actually came here to ask you something, but I guess a little sparring wouldn't hurt.",game/script.rpy,150
start_56aae926,Ariya,"Oh? What do you want to ask? We've got all afternoon, and I could do with a bit of a break, anyway.",game/script.rpy,153
start_6c6c7523,mc,"Where to start... You used to take part in big and important matches in the past, right? Didn't you ever get nervous before going into the ring?",game/script.rpy,154
start_6ee73a29,Ariya,"Oh, yeah. Hah! This one time, I got so nervous I hid in the kitchen cupboards until my dad found me and dragged me to the car. Of course, that was when I was, like, eight.",game/script.rpy,157
start_1b9929af,mc,"Well, obviously I can't go and hide for my match. But one of my friends made this stupid suggestion that I go and pray or something. Honestly, at this point I'll do anything to calm my nerves a little.",game/script.rpy,158
start_e59a1b7b,Ariya,Taka-boy. Are you sure about this?,game/script.rpy,161
start_6984f8a8,mc,"You mean the match? Of course I am! I've been practicing judo ever since I was old enough to walk! This is my chance to finally represent this country, and the sport I love!",game/script.rpy,162
start_36ab705a,Ariya,Hmm...,game/script.rpy,165
start_235286a5,n,"Ariya seemed to think for quite a long time, all the while tapping her jaw with a finger. Eventually, she snapped her fingers, and grabbed a tight hold of me.",game/script.rpy,166
start_0198310e,Ariya,"Alright! I'll tell you the way to this shrine I know. But it's going to require more than a simple clap of your hands and bob of your head. You need to give something to the shrine, something of value.",game/script.rpy,169
start_4f7296c9,mc,"I guess I'll have to think of something before we get there. Thanks, senpai. I appreciate the help.",game/script.rpy,171
start_b043f74a,Ariya,"We? OH, no no no, Taka-boy. I'm not going with you. I've got training to do. Besides, you've got to take this step yourself. I can draw you a map, and show you an easy way to get back here, but you'll be on your own.",game/script.rpy,174
start_a69b0211,mc,You're not tagging along? Not even for a little while?,game/script.rpy,175
start_d0808e88,Ariya,"Afraid so, Taka-boy. Let me just grab some paper. I'll draw that map for you.",game/script.rpy,178
start_e7e9d3d5,n,"After Ariya's return, quick preparations were made, and I followed the directions noted down on the map. Surprisingly, it wasn't all that far. However, the hint on how to find my way back, in case I got lost, was a bit sketchy.",game/script.rpy,180
start_e4efc468,n,'Just look down and you'll be able to see the roof of the dojo from anywhere on the hill'.,game/script.rpy,181
start_b9585c02,n,The forest near the dojo was my first challenge to overcome. A narrow path coiled along the trees and nearby was the river Ichikawa's sister had mentioned.,game/script.rpy,185
start_cac05913,n,"I followed Ariya's scribbles with a bit of skepticism, but after an hour or so, I finally arrived at the supposedly legendary shrine.",game/script.rpy,186
start_783e48a1,n,The shrine itself seemed surprisingly well-maintained despite being in the middle of nowhere. It made me wonder if someone could be secretly living there. Perhaps some secret martial arts master?,game/script.rpy,188
start_fbbba41a,n,"The thought of a hermit, living in hiding within the shrine in order to prepare himself for an upcoming battle between good and evil, started to dwell in my mind.",game/script.rpy,189
start_e2b25ace,mc,I guess it's too good to be true...,game/script.rpy,190
start_19ba7305,n,"I sighed in annoyance at the fact that, aside from shrine itself, the grounds surrounding it seemed completely abandoned. There was no way anyone could be living there.",game/script.rpy,191
start_31356139,n,"For the time being, I decided to focus on the reason behind my visit.",game/script.rpy,192
start_02965e87,n,"It only took a few moments before I gathered the courage to approach the building. Once inside, I found a rather fancy looking alter of sorts at the back of the room.",game/script.rpy,193
start_cc5c5148,mc,I guess this is the thing everyone's talking about.,game/script.rpy,195
start_28fa0a5e,n,"Silently, I folded up the map I had been given. Putting it inside my bag, I approached the alter.",game/script.rpy,196
start_95a663c4,n,"I was kind of skeptical about the whole religious aspect, so I wasn't too sure if this was actually going to work.",game/script.rpy,197
start_22ba30f9,mc,I don't even think luck will do me much good in a match like this.,game/script.rpy,198
start_62e16ec8,n,"In my opinion, there wasn't any room for things like luck in martial arts.",game/script.rpy,199
start_31819e59,n,"Judo is all about using the knowledge you have gained through training. Of course, a good amount of talent also helps.",game/script.rpy,200
start_3c3b6570,n,"There was simply no room for something as superstitious as 'luck'. Clearly, this was going to be a match where my experience and talent would be pushed to their limits. Nothing more and nothing less.",game/script.rpy,201
start_bff0d47f,FemaleVoice,"How curious. The boy doesn't believe in superstition, and yet he stands here, surrounded by the very thing he denounces.",game/script.rpy,204
start_94a81645,n,"Upon hearing the voice I looked around, trying to find the source, but there was no one to be seen.",game/script.rpy,205
start_869b0764,mc,Who's there?,game/script.rpy,208
start_7f0998f4,FemaleVoice,"Quite the clichéd question. But the right thing to ask is, 'where am I?'",game/script.rpy,209
start_316bdd28,mc,What are you talking about? Show yourself!,game/script.rpy,210
start_ecac0c3a,FemaleVoice,"Not yet. Entertain me for a little while longer, would you? This is a place like no other. Why did you come here, if you do not believe in things such as luck?",game/script.rpy,211
start_37cf8885,mc,I came here to prepare myself.,game/script.rpy,212
start_00947e66,FemaleVoice,"Oh, do enlighten me about what this something might be that you are preparing yourself for.",game/script.rpy,213
start_6270b79f,n,"I felt a little bit annoyed as the questions continued, but maybe if I kept talking to her I would be able to find out where shel was hiding.",game/script.rpy,214
start_d3403fed,mc,I'm preparing for a tournament. A judo match.,game/script.rpy,215
start_28924db6,FemaleVoice,Ju-do? What might that be?,game/script.rpy,216
start_3b02adb2,mc,"... Seriously, you don't know what judo is? It's a highly skilled combat art.",game/script.rpy,217
start_2ba0b55d,FemaleVoice,"Aha~ So, you're a warrior. Hesitant to go into battle and came here in hope of finding the resolve to fight!",game/script.rpy,218
start_a8b4a65f,mc,I'm not sure about the warrior part...,game/script.rpy,219
start_273a3abe,FemaleVoice,How fortunate~ It just so happens that there is a need for one of your kind.,game/script.rpy,220
start_5711c3b8,mc,My kind?,game/script.rpy,221
start_66574420,FemaleVoice,"A hero. This shrine brings fortune to heroes such as yourself. However, every great hero must sacrifice something in return.",game/script.rpy,222
start_ab8d7491,mc,"... Sounds like what the others mentioned. Your version sounds better, though.",game/script.rpy,223
start_60c60210,n,"Laughing briefly at the story, I decided to play along and clapped my hands together in prayer.",game/script.rpy,224
start_02bf2774,mc,"So, what's next? Do I offer up my allowance or something?",game/script.rpy,225
start_59b99fbc,FemaleVoice,"Don't be silly. Money is of little importance to a hero. For you, the sacrifice will be something of much greater value. I will be looking forward to seeing what destiny has in store for you.",game/script.rpy,226
start_bb616382,n,"As if on cue, I began to feel nauseated the moment the girl's words reached my ears, my head spinning wildly. Slowly, I staggered backwards, collapsing onto my back.",game/script.rpy,227
start_89a26770,n,"As my vision grew blurry, the sound of approaching footsteps could be heard.",game/script.rpy,228
start_be07a2f1,MysteriousGirl,"Good luck, hero. You're going to need it.",game/script.rpy,230
